species,individual,sample,measure,data,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_latistipula,1,1,1,02_set_2024,8:15,0,0.442,18.3,64,NA,28.71,91.2
C_latistipula,1,1,2,02_set_2024,8:35,20,0.43,18.6,63,NA,NA,91.2
C_latistipula,1,1,3,02_set_2024,8:55,40,0.42,19,63,NA,NA,91.2
C_latistipula,1,1,4,02_set_2024,9:15,60,0.41,19.3,62,NA,NA,91.2
C_latistipula,1,1,5,02_set_2024,9:35,80,0.401,19.9,64,NA,NA,91.2
C_latistipula,1,1,6,02_set_2024,9:55,100,0.392,20.5,62,NA,NA,91.2
C_latistipula,1,1,7,02_set_2024,10:15,120,0.383,20.5,61.4,NA,NA,91.2
C_latistipula,1,1,8,02_set_2024,10:35,140,0.372,21.6,59.3,NA,NA,91.2
C_latistipula,1,1,9,02_set_2024,10:55,160,0.361,27.2,37,NA,NA,91.2
C_latistipula,1,1,10,02_set_2024,11:15,180,0.349,25,42,NA,NA,91.2
C_latistipula,2,1,1,02_set_2024,8:15,0,0.379,18.3,64,NA,22.13,91.2
C_latistipula,2,1,2,02_set_2024,8:35,20,0.371,18.6,63,NA,NA,91.2
C_latistipula,2,1,3,02_set_2024,8:55,40,0.364,19,63,NA,NA,91.2
C_latistipula,2,1,4,02_set_2024,9:15,60,0.359,19.3,62,NA,NA,91.2
C_latistipula,2,1,5,02_set_2024,9:35,80,0.352,19.9,64,NA,NA,91.2
C_latistipula,2,1,6,02_set_2024,9:55,100,0.348,20.5,62,NA,NA,91.2
C_latistipula,2,1,7,02_set_2024,10:15,120,0.341,20.5,61.4,NA,NA,91.2
C_latistipula,2,1,8,02_set_2024,10:35,140,0.335,21.6,59.3,NA,NA,91.2
C_latistipula,2,1,9,02_set_2024,10:55,160,0.328,27.2,37,NA,NA,91.2
C_latistipula,2,1,10,02_set_2024,11:15,180,0.32,25,42,NA,NA,91.2
C_latistipula,3,1,1,02_set_2024,8:15,0,0.398,18.3,64,NA,23.4,91.2
C_latistipula,3,1,2,02_set_2024,8:35,20,0.387,18.6,63,NA,NA,91.2
C_latistipula,3,1,3,02_set_2024,8:55,40,0.379,19,63,NA,NA,91.2
C_latistipula,3,1,4,02_set_2024,9:15,60,0.371,19.3,62,NA,NA,91.2
C_latistipula,3,1,5,02_set_2024,9:35,80,0.362,19.9,64,NA,NA,91.2
C_latistipula,3,1,6,02_set_2024,9:55,100,0.354,20.5,62,NA,NA,91.2
C_latistipula,3,1,7,02_set_2024,10:15,120,0.346,20.5,61.4,NA,NA,91.2
C_latistipula,3,1,8,02_set_2024,10:35,140,0.337,21.6,59.3,NA,NA,91.2
C_latistipula,3,1,9,02_set_2024,10:55,160,0.33,27.2,37,NA,NA,91.2
C_latistipula,3,1,10,02_set_2024,11:15,180,0.317,25,42,NA,NA,91.2
C_latistipula,4,1,1,02_set_2024,8:15,0,0.178,18.3,64,NA,13.28,91.2
C_latistipula,4,1,2,02_set_2024,8:35,20,0.176,18.6,63,NA,NA,91.2
C_latistipula,4,1,3,02_set_2024,8:55,40,0.173,19,63,NA,NA,91.2
C_latistipula,4,1,4,02_set_2024,9:15,60,0.172,19.3,62,NA,NA,91.2
C_latistipula,4,1,5,02_set_2024,9:35,80,0.169,19.9,64,NA,NA,91.2
C_latistipula,4,1,6,02_set_2024,9:55,100,0.168,20.5,62,NA,NA,91.2
C_latistipula,4,1,7,02_set_2024,10:15,120,0.167,20.5,61.4,NA,NA,91.2
C_latistipula,4,1,8,02_set_2024,10:35,140,0.164,21.6,59.3,NA,NA,91.2
C_latistipula,4,1,9,02_set_2024,10:55,160,0.162,27.2,37,NA,NA,91.2
C_latistipula,4,1,10,02_set_2024,11:15,180,0.159,25,42,NA,NA,91.2
C_latistipula,5,1,1,02_set_2024,8:15,0,0.324,18.3,64,NA,21.82,91.2
C_latistipula,5,1,2,02_set_2024,8:35,20,0.32,18.6,63,NA,NA,91.2
C_latistipula,5,1,3,02_set_2024,8:55,40,0.317,19,63,NA,NA,91.2
C_latistipula,5,1,4,02_set_2024,9:15,60,0.314,19.3,62,NA,NA,91.2
C_latistipula,5,1,5,02_set_2024,9:35,80,0.311,19.9,64,NA,NA,91.2
C_latistipula,5,1,6,02_set_2024,9:55,100,0.309,20.5,62,NA,NA,91.2
C_latistipula,5,1,8,02_set_2024,10:35,140,0.304,21.6,59.3,NA,NA,91.2
C_latistipula,5,1,9,02_set_2024,10:55,160,0.3,27.2,37,NA,NA,91.2
C_latistipula,5,1,10,02_set_2024,11:15,180,0.297,25,42,NA,NA,91.2
C_latistipula,6,1,1,02_set_2024,8:15,0,0.396,18.3,64,NA,27.97,91.2
C_latistipula,6,1,2,02_set_2024,8:35,20,0.39,18.6,63,NA,NA,91.2
C_latistipula,6,1,3,02_set_2024,8:55,40,0.384,19,63,NA,NA,91.2
C_latistipula,6,1,4,02_set_2024,9:15,60,0.378,19.3,62,NA,NA,91.2
C_latistipula,6,1,5,02_set_2024,9:35,80,0.372,19.9,64,NA,NA,91.2
C_latistipula,6,1,6,02_set_2024,9:55,100,0.366,20.5,62,NA,NA,91.2
C_latistipula,6,1,7,02_set_2024,10:15,120,0.36,20.5,61.4,NA,NA,91.2
C_latistipula,6,1,8,02_set_2024,10:35,140,0.355,21.6,59.3,NA,NA,91.2
C_latistipula,6,1,9,02_set_2024,10:55,160,0.347,27.2,37,NA,NA,91.2
C_latistipula,6,1,10,02_set_2024,11:15,180,0.339,25,42,NA,NA,91.2
