species,individual,sample,date,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_flexuosa,1,1,03/09/2024,19:20,0,0.119,25.8,44,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,19:40,20,0.115,25.5,45,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,20:00,40,0.111,24.9,44,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,20:20,60,0.109,24.6,44,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,20:40,80,0.106,24.4,45,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,21:00,100,0.105,24.1,46,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,21:20,120,0.103,23.5,45,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,21:40,140,0.101,23.2,45,NA,NA,91.2
C_flexuosa,1,1,03/09/2024,22:00,160,0.1,23.1,46,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,19:20,0,0.198,25.8,44,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,19:40,20,0.19,25.5,45,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,20:00,40,0.184,24.9,44,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,20:20,60,0.178,24.6,44,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,20:40,80,0.175,24.4,45,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,21:00,100,0.17,24.1,46,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,21:20,120,0.166,23.5,45,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,21:40,140,0.164,23.2,45,NA,NA,91.2
C_flexuosa,2,1,03/09/2024,22:00,160,0.16,23.1,46,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,19:20,0,0.128,25.8,44,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,19:40,20,0.12,25.5,45,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,20:00,40,0.115,24.9,44,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,20:20,60,0.111,24.6,44,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,20:40,80,0.108,24.4,45,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,21:00,100,0.105,24.1,46,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,21:20,120,0.102,23.5,45,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,21:40,140,0.101,23.2,45,NA,NA,91.2
C_flexuosa,3,1,03/09/2024,22:00,160,0.099,23.1,46,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,19:20,0,0.211,25.8,44,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,19:40,20,0.204,25.5,45,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,20:00,40,0.198,24.9,44,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,20:20,60,0.193,24.6,44,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,20:40,80,0.189,24.4,45,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,21:00,100,0.186,24.1,46,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,21:20,120,0.182,23.5,45,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,21:40,140,0.179,23.2,45,NA,NA,91.2
C_flexuosa,4,1,03/09/2024,22:00,160,0.177,23.1,46,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,19:20,0,0.152,25.8,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,19:40,20,0.146,25.5,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:00,40,0.142,24.9,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:20,60,0.14,24.6,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:40,80,0.137,24.4,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:00,100,0.134,24.1,46,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:20,120,0.131,23.5,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:40,140,0.129,23.2,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,22:00,160,0.127,23.1,46,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,19:20,0,0.13,25.8,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,19:40,20,0.126,25.5,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:00,40,0.122,24.9,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:20,60,0.118,24.6,44,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,20:40,80,0.114,24.4,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:00,100,0.113,24.1,46,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:20,120,0.111,23.5,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,21:40,140,0.109,23.2,45,NA,NA,91.2
C_flexuosa,5,1,03/09/2024,22:00,160,0.108,23.1,46,NA,NA,91.2
